suite,dimension,budget,comparison_scope,function,function_class,competitor,reference,n_competitor,n_reference,u_competitor,probability_nea2plus_lower,mean_rank_nea2plus,mean_rank_msc,median_nea2plus,median_msc,p_raw,test_family_size,correction,p_holm,alpha,mwu_symbol
cec2022,10,200000,composition,11,composition,NEA2PLUS-PY,MSC-CMA,51,51,2601,0,77,26,2.250408215331845e-08,0,3.3015336843073518e-18,4,holm-bonferroni,1.3206134737229407e-17,0.05,<
cec2022,10,200000,composition,12,composition,NEA2PLUS-PY,MSC-CMA,51,51,1608,0.3817762399077278,57.529411764705884,45.470588235294116,163.47770546954689,163.1891255617611,0.038833999636888356,4,holm-bonferroni,0.038833999636888356,0.05,<
cec2022,20,1000000,all,1,basic,NEA2PLUS-PY,MSC-CMA,51,51,2601,0,77,26,0,0,9.2623964161139194e-19,12,holm-bonferroni,1.0188636057725312e-17,0.05,<
cec2022,20,1000000,all,2,basic,NEA2PLUS-PY,MSC-CMA,51,51,2346,0.098039215686274495,72,31,0,0,1.4452296481936085e-12,12,holm-bonferroni,5.7809185927744339e-12,0.05,<
cec2022,20,1000000,all,3,basic,NEA2PLUS-PY,MSC-CMA,51,51,123,0.9527104959630911,28.411764705882351,74.588235294117652,0.00077036687014242489,0.027154057125699183,3.3448677754206051e-15,12,holm-bonferroni,1.6724338877103027e-14,0.05,>
cec2022,20,1000000,all,4,basic,NEA2PLUS-PY,MSC-CMA,51,51,2601,0,77,26,11.939508687493344,0.99495905709341059,2.839952161876697e-18,12,holm-bonferroni,2.8399521618766968e-17,0.05,<
cec2022,20,1000000,all,5,basic,NEA2PLUS-PY,MSC-CMA,51,51,1275,0.50980392156862742,51,52,0,0.089528250416492483,0.86665540405915564,12,holm-bonferroni,1,0.05,=
cec2022,20,1000000,all,6,hybrid,NEA2PLUS-PY,MSC-CMA,51,51,2574,0.01038062283737029,76.470588235294116,26.529411764705884,25.967038475070012,0.58081117629171786,1.5980639143160737e-17,12,holm-bonferroni,1.1186447400212516e-16,0.05,<
cec2022,20,1000000,all,7,hybrid,NEA2PLUS-PY,MSC-CMA,51,51,2552,0.018838908112264519,76.039215686274503,26.96078431372549,26.262750169829587,19.999414385977843,5.6371721071795437e-17,12,holm-bonferroni,3.3823032643077262e-16,0.05,<
cec2022,20,1000000,all,8,hybrid,NEA2PLUS-PY,MSC-CMA,51,51,1263,0.51441753171856974,50.764705882352942,52.235294117647058,20.753007651298503,20.781165777463684,0.80442056407041229,12,holm-bonferroni,1,0.05,=
cec2022,20,1000000,all,9,composition,NEA2PLUS-PY,MSC-CMA,51,51,2601,0,77,26,180.78127167831735,180.78127167774664,2.7869870666077664e-20,12,holm-bonferroni,3.3443844799293197e-19,0.05,<
cec2022,20,1000000,all,10,composition,NEA2PLUS-PY,MSC-CMA,51,51,2601,0,77,26,100.48760515217828,18.597728963794907,3.3036815016661564e-18,12,holm-bonferroni,2.973313351499541e-17,0.05,<
cec2022,20,1000000,all,11,composition,NEA2PLUS-PY,MSC-CMA,51,51,2601,0,77,26,1.2567988960654475e-07,0,3.3036815016661564e-18,12,holm-bonferroni,2.973313351499541e-17,0.05,<
