suite,dimension,budget,comparison_scope,function,function_class,competitor,reference,n_competitor,n_reference,u_competitor,probability_competitor_lower,mean_rank_competitor,mean_rank_msc,median_competitor,median_msc,p_raw,test_family_size,correction,p_holm,alpha,mwu_symbol
cec2017,10,100000,all,22,composition,CMAES-NBC,MSC-CMA,51,51,2457,0.055363321799307919,74.176470588235304,28.823529411764707,100.000000000043,11.396522268506942,1.0068451603808137e-14,29,holm-bonferroni,1.7116367726473832e-13,0.05,<
cec2017,10,100000,all,23,composition,CMAES-NBC,MSC-CMA,51,51,719,0.7235678585159554,40.098039215686271,62.901960784313722,300.000000000022,305.3196661022962,0.00010050696078660037,29,holm-bonferroni,0.00060304176471960222,0.05,>
cec2017,10,100000,all,24,composition,CMAES-NBC,MSC-CMA,51,51,2601,0,77,26,328.58853955313498,100.00000000001637,2.4551093280939396e-18,29,holm-bonferroni,6.6287951858536374e-17,0.05,<
cec2017,10,100000,all,25,composition,CMAES-NBC,MSC-CMA,51,51,2573,0.010765090349865392,76.450980392156865,26.549019607843139,443.32995040107301,100.00738903956926,1.4844750509577828e-17,29,holm-bonferroni,3.4142926172029007e-16,0.05,<
cec2017,10,100000,all,26,composition,CMAES-NBC,MSC-CMA,51,51,2599,0.00076893502499042476,76.960784313725497,26.03921568627451,300.00000000046902,200.00000000014143,3.715365488555683e-18,29,holm-bonferroni,8.9168771725336399e-17,0.05,<
cec2017,10,100000,all,27,composition,CMAES-NBC,MSC-CMA,51,51,2553,0.018454440599769306,76.058823529411768,26.941176470588236,394.229791757952,389.70567982845569,1.9421336052798169e-17,29,holm-bonferroni,4.2726939316155971e-16,0.05,<
cec2017,10,100000,all,28,composition,CMAES-NBC,MSC-CMA,51,51,2601,0,77,26,577.48312570478095,300.00000000000682,3.0638402448152454e-18,29,holm-bonferroni,7.9659846365196384e-17,0.05,<
cec2017,10,100000,all,29,composition,CMAES-NBC,MSC-CMA,51,51,1641,0.36908881199538635,58.176470588235297,44.82352941176471,234.09180582717499,232.24487492695289,0.022874724586539833,29,holm-bonferroni,0.091498898346159332,0.05,=
cec2017,10,100000,all,30,composition,CMAES-NBC,MSC-CMA,51,51,449,0.82737408688965786,34.803921568627452,68.196078431372541,394.53594170698301,413.34032146369509,1.2301524996191355e-08,29,holm-bonferroni,1.2301524996191356e-07,0.05,>
cec2017,10,100000,composition,21,composition,CMAES-NBC,MSC-CMA,51,51,2557,0.016916570549788568,76.137254901960787,26.862745098039216,201.71317044515999,100.0000000000191,4.2032175637474959e-17,10,holm-bonferroni,2.101608781873748e-16,0.05,<
cec2017,10,100000,composition,22,composition,CMAES-NBC,MSC-CMA,51,51,2457,0.055363321799307919,74.176470588235304,28.823529411764707,100.000000000043,11.396522268506942,1.0068451603808137e-14,10,holm-bonferroni,4.0273806415232549e-14,0.05,<
cec2017,10,100000,composition,23,composition,CMAES-NBC,MSC-CMA,51,51,719,0.7235678585159554,40.098039215686271,62.901960784313722,300.000000000022,305.3196661022962,0.00010050696078660037,10,holm-bonferroni,0.00020101392157320075,0.05,>
cec2017,10,100000,composition,24,composition,CMAES-NBC,MSC-CMA,51,51,2601,0,77,26,328.58853955313498,100.00000000001637,2.4551093280939396e-18,10,holm-bonferroni,2.4551093280939395e-17,0.05,<
cec2017,10,100000,composition,25,composition,CMAES-NBC,MSC-CMA,51,51,2573,0.010765090349865392,76.450980392156865,26.549019607843139,443.32995040107301,100.00738903956926,1.4844750509577828e-17,10,holm-bonferroni,1.0391325356704479e-16,0.05,<
cec2017,10,100000,composition,26,composition,CMAES-NBC,MSC-CMA,51,51,2599,0.00076893502499042476,76.960784313725497,26.03921568627451,300.00000000046902,200.00000000014143,3.715365488555683e-18,10,holm-bonferroni,2.9722923908445464e-17,0.05,<
cec2017,10,100000,composition,27,composition,CMAES-NBC,MSC-CMA,51,51,2553,0.018454440599769306,76.058823529411768,26.941176470588236,394.229791757952,389.70567982845569,1.9421336052798169e-17,10,holm-bonferroni,1.1652801631678901e-16,0.05,<
cec2017,10,100000,composition,28,composition,CMAES-NBC,MSC-CMA,51,51,2601,0,77,26,577.48312570478095,300.00000000000682,3.0638402448152454e-18,10,holm-bonferroni,2.757456220333721e-17,0.05,<
cec2017,10,100000,composition,29,composition,CMAES-NBC,MSC-CMA,51,51,1641,0.36908881199538635,58.176470588235297,44.82352941176471,234.09180582717499,232.24487492695289,0.022874724586539833,10,holm-bonferroni,0.022874724586539833,0.05,<
cec2017,10,100000,composition,30,composition,CMAES-NBC,MSC-CMA,51,51,449,0.82737408688965786,34.803921568627452,68.196078431372541,394.53594170698301,413.34032146369509,1.2301524996191355e-08,10,holm-bonferroni,3.6904574988574067e-08,0.05,>
cec2017,30,300000,all,1,basic,CMAES-NBC,MSC-CMA,51,51,0,1,26,77,0,0,1.3905886961424435e-20,29,holm-bonferroni,3.893648349198842e-19,0.05,>
cec2017,30,300000,all,3,basic,CMAES-NBC,MSC-CMA,51,51,51,0.98039215686274506,27,76,0,0,1.0049175609134329e-21,29,holm-bonferroni,2.9142609266489552e-20,0.05,>
