suite,dimension,budget,function,function_class,reference,opponent,n_reference,n_opponent,u_reference,probability_conly_lower,median_conly,median_opponent,p_raw,bonferroni_family_size,p_bonferroni,alpha,decision
cec2020,15,3000000,8,composition,MSC-CMA-Conly,MSC-CMA,51,51,1879,0.27758554402153013,5.3660187404602766e-11,2.1373125491663814e-11,0.00010900453822692644,3,0.00032701361468077928,0.05,opponent better
cec2020,15,3000000,9,composition,MSC-CMA-Conly,MSC-CMA,51,51,1244.5,0.52153018069973089,100.00000000004093,100.00000000004229,0.71028011093638788,3,1,0.05,not significant
cec2020,15,3000000,10,composition,MSC-CMA-Conly,MSC-CMA,51,51,1030,0.60399846212995001,100.00695242151005,100.00731846890176,0.070757448627520855,3,0.21227234588256255,0.05,not significant
cec2020,15,3000000,8,composition,MSC-CMA-Conly,ARRDE,51,51,262,0.89926951172625913,5.3660187404602766e-11,34.903288027987855,3.6764100897886744e-12,3,1.1029230269366023e-11,0.05,conly better
cec2020,15,3000000,9,composition,MSC-CMA-Conly,ARRDE,51,51,2142,0.17647058823529416,100.00000000004093,100.00000000000045,3.102348015258865e-09,3,9.3070440457765947e-09,0.05,opponent better
cec2020,15,3000000,10,composition,MSC-CMA-Conly,ARRDE,51,51,477,0.81660899653979235,100.00695242151005,200,3.1805323370967489e-08,3,9.541597011290246e-08,0.05,conly better
cec2020,15,3000000,8,composition,MSC-CMA-Conly,BIPOP-CMA,51,51,373,0.85659361783929255,5.3660187404602766e-11,100,3.2537291737566194e-10,3,9.7611875212698591e-10,0.05,conly better
cec2020,15,3000000,9,composition,MSC-CMA-Conly,BIPOP-CMA,51,51,1548.5,0.40465205690119188,100.00000000004093,100.00000000001091,0.097595708011950555,3,0.29278712403585166,0.05,not significant
cec2020,15,3000000,10,composition,MSC-CMA-Conly,BIPOP-CMA,51,51,48,0.98154555940023069,100.00695242151005,400.00000000000091,4.4196524217090539e-18,3,1.3258957265127163e-17,0.05,conly better
cec2020,15,3000000,8,composition,MSC-CMA-Conly,LSRTDE,51,51,0,1,5.3660187404602766e-11,100,8.8472915438723735e-19,3,2.6541874631617119e-18,0.05,conly better
cec2020,15,3000000,9,composition,MSC-CMA-Conly,LSRTDE,51,51,0,1,100.00000000004093,386.08538569402208,2.9718292991881767e-18,3,8.91548789756453e-18,0.05,conly better
cec2020,15,3000000,10,composition,MSC-CMA-Conly,LSRTDE,51,51,0,1,100.00695242151005,400,1.3905886961424435e-20,3,4.1717660884273309e-20,0.05,conly better
cec2020,15,3000000,8,composition,MSC-CMA-Conly,NLSHADE-RSP,51,51,1423.5,0.4527104959630911,5.3660187404602766e-11,4.5474735088646412e-13,0.4110716707562162,3,1,0.05,not significant
cec2020,15,3000000,9,composition,MSC-CMA-Conly,NLSHADE-RSP,51,51,2142,0.17647058823529416,100.00000000004093,100,8.5421253602865194e-09,3,2.562637608085956e-08,0.05,opponent better
cec2020,15,3000000,10,composition,MSC-CMA-Conly,NLSHADE-RSP,51,51,0,1,100.00695242151005,400,1.3905886961424435e-20,3,4.1717660884273309e-20,0.05,conly better
cec2020,15,3000000,8,composition,MSC-CMA-Conly,j2020,51,51,1918,0.26259131103421762,5.3660187404602766e-11,9.0949470177292824e-13,3.1013294673973159e-05,3,9.3039884021919471e-05,0.05,opponent better
cec2020,15,3000000,9,composition,MSC-CMA-Conly,j2020,51,51,1806,0.3056516724336793,100.00000000004093,100.00000000000136,0.0006847396853965368,3,0.0020542190561896106,0.05,opponent better
cec2020,15,3000000,10,composition,MSC-CMA-Conly,j2020,51,51,1,0.99961553248750479,100.00695242151005,400.00000000000091,7.3511363661182863e-20,3,2.205340909835486e-19,0.05,conly better
cec2020,15,3000000,8,composition,MSC-CMA-Conly,jSO,51,51,0,1,5.3660187404602766e-11,100.00000000000045,5.5488340141499293e-19,3,1.6646502042449787e-18,0.05,conly better
cec2020,15,3000000,9,composition,MSC-CMA-Conly,jSO,51,51,42,0.98385236447520186,100.00000000004093,352.80755810619848,3.3697516900164344e-17,3,1.0109255070049303e-16,0.05,conly better
cec2020,15,3000000,10,composition,MSC-CMA-Conly,jSO,51,51,0,1,100.00695242151005,400,3.8334797959434275e-20,3,1.1500439387830283e-19,0.05,conly better
cec2020,15,3000000,8,composition,MSC-CMA-Conly,NEA2PLUS-PY,51,51,379,0.85428681276432139,5.3660187404602766e-11,24.246762464747007,7.0578853714278169e-10,3,2.1173656114283451e-09,0.05,conly better
cec2020,15,3000000,9,composition,MSC-CMA-Conly,NEA2PLUS-PY,51,51,42,0.98385236447520186,100.00000000004093,100.00000002310071,3.7787294964470143e-17,3,1.1336188489341043e-16,0.05,conly better
cec2020,15,3000000,10,composition,MSC-CMA-Conly,NEA2PLUS-PY,51,51,114,0.9561707035755479,100.00695242151005,400.00000001520175,2.0621241962658489e-15,3,6.1863725887975471e-15,0.05,conly better
cec2020,20,10000000,8,composition,MSC-CMA-Conly,MSC-CMA,51,51,1129,0.56593617839292576,35.429405013773703,38.82865744397759,0.25243583747775056,3,0.75730751243325167,0.05,not significant
cec2020,20,10000000,9,composition,MSC-CMA-Conly,MSC-CMA,51,51,1242.5,0.52229911572472121,100.00000000004684,100.00000000004593,0.70031771847791546,3,1,0.05,not significant
cec2020,20,10000000,10,composition,MSC-CMA-Conly,MSC-CMA,51,51,891.5,0.65724721261053443,399.33359133484873,400.84491997975874,0.0062574096229862618,3,0.018772228868958785,0.05,conly better
cec2020,20,10000000,8,composition,MSC-CMA-Conly,ARRDE,51,51,100,0.96155324875048054,35.429405013773703,82.187907629334404,8.2901339870556013e-16,3,2.4870401961166802e-15,0.05,conly better
cec2020,20,10000000,9,composition,MSC-CMA-Conly,ARRDE,51,51,2356,0.094194540561322593,100.00000000004684,100.00000000000045,1.2723317129872718e-13,3,3.8169951389618152e-13,0.05,opponent better
cec2020,20,10000000,10,composition,MSC-CMA-Conly,ARRDE,51,51,2379,0.085351787773933152,399.33359133484873,399.03793845758264,5.1154951195544677e-13,3,1.5346485358663402e-12,0.05,opponent better
